year,commodity_type_en,commodity_type_fr,solicitation_code,contracts_count,original_value,amendment_value,department_en,department_fr
2019,Construction,Construction,TN,0,0,0,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2019,Service,Services,OB,73,270659138.26,204434156.35,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2019,Good,Biens,OB,37,3245714.94,22975067.41,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2019,Construction,Construction,OB,0,0,0,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2019,Service,Services,TC,1022,192586579.35,24715188.27,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2019,Good,Biens,TC,191,25497517.15,6007317.41,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2019,Construction,Construction,TC,1,33112.80,0,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2017,Service,Services,AC,2,1476100.97,10900.00,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2017,Good,Biens,AC,0,0,0,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2017,Construction,Construction,AC,0,0,0,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2018,Service,Services,TN,29,475864.69,6322.35,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2018,Good,Biens,TN,5,147550.23,2950.85,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2018,Construction,Construction,TN,0,0,0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2018,Service,Services,TC,12,297548.51,218.51,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2018,Good,Biens,TC,2,34035.60,0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2018,Construction,Construction,TC,0,0,0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
2019,Service,Services,OB,215,8953648.93,190801.64,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2019,Good,Biens,OB,13,833625.18,19.00,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2019,Construction,Construction,OB,0,0,0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2019,Service,Services,TN,89,2088627.95,-192675.58,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2019,Good,Biens,TN,83,3734953.69,229032.94,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2019,Construction,Construction,TN,0,0,0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2019,Service,Services,TC,50,3795877.27,1937585.50,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2019,Good,Biens,TC,32,1440853.00,0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2019,Construction,Construction,TC,0,0,0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2019,Service,Services,TN,137,4674535.93,457135.55,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Good,Biens,TN,54,2367963.36,156082.88,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Construction,Construction,TN,0,0,0,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Service,Services,OB,136,15102683.00,6592398.90,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Good,Biens,OB,42,1786932.51,232845.75,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Construction,Construction,OB,0,0,0,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Service,Services,TC,34,1976814.75,685311.35,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Good,Biens,TC,16,841375.01,8824.58,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Construction,Construction,TC,0,0,0,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Service,Services,AC,9,1201633.36,284420.34,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Good,Biens,AC,1,16950.00,0,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Construction,Construction,AC,0,0,0,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Service,Services,TN,16,481432.27,51631.58,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2019,Good,Biens,TN,7,171779.32,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2019,Construction,Construction,TN,0,0,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2019,Service,Services,TC,7,390225.76,313813.30,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2019,Good,Biens,TC,4,177448.09,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2019,Construction,Construction,TC,0,0,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2018,Service,Services,OB,661,111351051.28,48107446.09,Canada Revenue Agency,Agence du revenu du Canada
2018,Good,Biens,OB,190,27764011.46,38605536.56,Canada Revenue Agency,Agence du revenu du Canada
2018,Construction,Construction,OB,0,0,0,Canada Revenue Agency,Agence du revenu du Canada
2018,Service,Services,TN,234,17848076.00,37463626.36,Canada Revenue Agency,Agence du revenu du Canada
2018,Good,Biens,TN,95,3644576.38,2250279.80,Canada Revenue Agency,Agence du revenu du Canada
2018,Construction,Construction,TN,0,0,0,Canada Revenue Agency,Agence du revenu du Canada
2018,Service,Services,TC,57,1933191.81,696375.48,Canada Revenue Agency,Agence du revenu du Canada
2018,Good,Biens,TC,47,8162630.75,6356095.18,Canada Revenue Agency,Agence du revenu du Canada
2018,Construction,Construction,TC,0,0,0,Canada Revenue Agency,Agence du revenu du Canada
2018,Service,Services,AC,16,985228.56,71126.98,Canada Revenue Agency,Agence du revenu du Canada
2018,Good,Biens,AC,1,10543.36,129951.19,Canada Revenue Agency,Agence du revenu du Canada
2018,Construction,Construction,AC,0,0,0,Canada Revenue Agency,Agence du revenu du Canada
2019,Service,Services,TN,47,1366807.44,144516.66,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
2019,Good,Biens,TN,16,722981.47,0,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
2019,Construction,Construction,TN,0,0,0,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
2019,Service,Services,OB,0,0,133371.00,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
2019,Good,Biens,OB,0,0,0,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
2019,Construction,Construction,OB,0,0,0,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
2019,Service,Services,TC,7,1016258.19,1679544.42,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
2019,Good,Biens,TC,5,654755.25,-1264.63,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
2019,Construction,Construction,TC,0,0,0,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
2019,Service,Services,AC,1,276793.50,0,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
2019,Good,Biens,AC,0,0,0,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
2019,Construction,Construction,AC,0,0,0,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
2019,Service,Services,OB,245,101506796.31,30489861.80,Canadian Space Agency,Agence spatiale canadienne
2019,Good,Biens,OB,39,4475911.69,1742133.00,Canadian Space Agency,Agence spatiale canadienne
2019,Construction,Construction,OB,16,3363772.45,3804648.61,Canadian Space Agency,Agence spatiale canadienne
2019,Service,Services,TC,121,7387759.89,15789282.91,Canadian Space Agency,Agence spatiale canadienne
2019,Good,Biens,TC,28,1646205056.47,620646.70,Canadian Space Agency,Agence spatiale canadienne
2019,Construction,Construction,TC,9,3400530.30,178144.62,Canadian Space Agency,Agence spatiale canadienne
2019,Service,Services,TN,165,47367695.29,99025991.28,Canadian Space Agency,Agence spatiale canadienne
2019,Good,Biens,TN,85,8031467.37,7053482.64,Canadian Space Agency,Agence spatiale canadienne
2019,Construction,Construction,TN,18,439845.48,90356.98,Canadian Space Agency,Agence spatiale canadienne
2019,Service,Services,AC,3,119584.66,181410.56,Canadian Space Agency,Agence spatiale canadienne
2019,Good,Biens,AC,1,50942.27,0,Canadian Space Agency,Agence spatiale canadienne
2019,Construction,Construction,AC,0,0,0,Canadian Space Agency,Agence spatiale canadienne
2019,Service,Services,TC,562,27767548.38,13764852.86,Correctional Service of Canada,Service correctionnel du Canada
2019,Good,Biens,TC,1243,44788253.89,850347.46,Correctional Service of Canada,Service correctionnel du Canada
2019,Construction,Construction,TC,315,14551413.66,913229.42,Correctional Service of Canada,Service correctionnel du Canada
2019,Service,Services,AC,409,103857068.95,322580673.93,Correctional Service of Canada,Service correctionnel du Canada
2019,Good,Biens,AC,146,8212976.26,3322663.84,Correctional Service of Canada,Service correctionnel du Canada
2019,Construction,Construction,AC,3,89495.79,0,Correctional Service of Canada,Service correctionnel du Canada
2019,Service,Services,OB,1814,165000842.46,152836301.49,Correctional Service of Canada,Service correctionnel du Canada
2019,Good,Biens,OB,4041,293631608.36,18373859.81,Correctional Service of Canada,Service correctionnel du Canada
2019,Construction,Construction,OB,144,30851263.84,2472301.32,Correctional Service of Canada,Service correctionnel du Canada
2019,Service,Services,TN,627,39277171.05,5108650.87,Correctional Service of Canada,Service correctionnel du Canada
2019,Good,Biens,TN,611,33805605.72,9848267.35,Correctional Service of Canada,Service correctionnel du Canada
2019,Construction,Construction,TN,71,3355964.21,59371.29,Correctional Service of Canada,Service correctionnel du Canada
2019,Service,Services,TC,99,4024595.59,1802505.16,Canada School of Public Service,École de la fonction publique du Canada
2019,Good,Biens,TC,96,5198369.14,71470.00,Canada School of Public Service,École de la fonction publique du Canada
2019,Construction,Construction,TC,0,0,0,Canada School of Public Service,École de la fonction publique du Canada
2019,Service,Services,TN,40,1149559.02,713813.83,Canada School of Public Service,École de la fonction publique du Canada
2019,Good,Biens,TN,12,906484.54,71867.65,Canada School of Public Service,École de la fonction publique du Canada
2019,Construction,Construction,TN,0,0,0,Canada School of Public Service,École de la fonction publique du Canada
2019,Service,Services,OB,12,1005897.90,2108885.58,Canada School of Public Service,École de la fonction publique du Canada
2019,Good,Biens,OB,2,68668.82,0,Canada School of Public Service,École de la fonction publique du Canada
2019,Construction,Construction,OB,0,0,0,Canada School of Public Service,École de la fonction publique du Canada
2018,Service,Services,TN,52,1250659.80,144535.65,Canadian Transportation Agency,Office des transports du Canada
