year,commodity_type,contracts_count,original_value,amendment_value,department,,,,,
2017,G,43,184338.17,25304.5,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,,,,,
2017,G,53,1045841,51910,Canadian Grain Commission | Commission canadienne des grains,,,,,
2017,G,48,39510,472,Canadian Human Rights Commission | Commission canadienne des droits de la personne,,,,,
2017,G,20,16566480.12,308318.69,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",,,,,
2017,G,12,4042520.65,74468.27,Canadian Intergovernmental Conference Secretariat | Secrétariat des conférences intergouvernementales canadiennes,,,,,
2017,G,83,3130804,330976,Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,,,,,
2017,G,74,320652.05,4998.48,Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,,,,,
2017,G,88,41538,0,Civilian Review and Complaints Commission for the RCMP | Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,,,,,
2017,G,23,160620.07,23222.33,Canada Revenue Agency | Agence du revenu du Canada,,,,,
2017,G,43,154396.1,-6068.97,Canadian Space Agency | Agence spatiale canadienne,,,,,
2017,G,53,405825,238953,Correctional Service of Canada | Service correctionnel du Canada,,,,,
2017,G,15,558793,17065,Canada School of Public Service | École de la fonction publique du Canada,,,,,
2017,G,4,6552025.82,0,Canadian Transportation Agency | Office des transports du Canada,,,,,
2017,G,23,5929164.8,492315.08,Global Affairs Canada | Affaires mondiales Canada,,,,,
2017,G,245,8960838.23,-24387.37,Fisheries and Oceans Canada | Pêches et Océans Canada,,,,,
2017,G,42,210744.92,-3520.51,National Defence | Défense nationale,,,,,
2017,G,62,1511165.09,36164.33,Environment and Climate Change Canada | Environnement et Changement climatique Canada,,,,,
2017,G,53,81992,16313,Elections Canada | Élections Canada,,,,,
2017,G,22,355673.27,50883.89,Employment and Social Development Canada | Emploi et Développement social Canada,,,,,
2017,G,77,156231.31,0,Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,,,,,
2017,G,20,256386.48,5592.48,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,,,,,
2017,G,27,573532.03,12981.13,Department of Finance Canada | Ministère des Finances Canada,,,,,
2017,G,51,550588.95,31960.45,Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,,,,,
2017,G,85,284961,24750,Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat à la magistrature fédérale Canada,,,,,
2017,G,157,196257,5755,Farm Products Council of Canada | Conseil des produits agricoles du Canada,,,,,
2017,G,27,11957986.69,1214201.29,Health Canada | Santé Canada,,,,,
2017,G,92,184338.17,25304.5,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",,,,,
2017,G,61,1045841,51910,Department of Justice | Ministère de la Justice,,,,,
2017,G,13,39510,472,Library and Archives Canada | Bibliothèque et Archives Canada,,,,,
2017,G,15,16566480.12,308318.69,Military Grievances External Review Committee | Comité externe d’examen des griefs militaires,,,,,
2017,G,17,4042520.65,74468.27,Military Police Complaints Commission of Canada | Commission d'examen des plaintes concernant la police militaire du Canada,,,,,
2017,G,19,3130804,330976,National Energy Board | Office national de l'énergie,,,,,
2017,G,53,320652.05,4998.48,National Film Board | Office national du film,,,,,
2017,G,25,41538,0,Natural Resources Canada | Ressources naturelles Canada,,,,,
2017,G,70,160620.07,23222.33,National Research Council Canada | Conseil national de recherches Canada,,,,,
2017,G,18,154396.1,-6068.97,Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en génie du Canada,,,,,
2017,G,93,405825,238953,Office of the Auditor General of Canada | Bureau du vérificateur général du Canada,,,,,
2017,G,58,558793,17065,Office of the Commissioner of Lobbying of Canada | Commissariat au lobbying du Canada,,,,,
2017,G,157,6552025.82,0,Office of the Commissioner of Official Languages | Commissariat aux langues officielles,,,,,
2017,G,27,5929164.8,492315.08,Office of the Information Commissioner of Canada | Commissariat à l'information du Canada,,,,,
2017,G,92,8960838.23,-24387.37,Office of the Privacy Commissioner of Canada | Commissariats à l’information et à la protection de la vie privée au Canada,,,,,
2017,G,61,210744.92,-3520.51,Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financières Canada,,,,,
2017,G,13,1511165.09,36164.33,Office of the Secretary to the Governor General | Bureau du secrétaire du gouverneur général,,,,,
2017,G,15,81992,16313,Parole Board of Canada | Commission des libérations conditionnelles du Canada,,,,,
2017,G,17,123222.15,9472.23,Parks Canada | Parcs Canada,,,,,
2017,G,19,911526.25,151225,Canadian Heritage | Patrimoine canadien,,,,,
2017,G,53,214558913.4,2405578.12,Public Health Agency of Canada | Agence de la santé publique du Canada,,,,,
2017,G,25,6649019.76,960399.79,Patented Medicine Prices Review Board Canada | Conseil d'examen du prix des médicaments brevetés Canada,,,,,
2017,G,19,1783696.94,75078.21,Public Prosecution Service of Canada | Service des poursuites pénales du Canada,,,,,
2017,G,53,46260.63,-859.7,Public Service Commission of Canada | Commission de la fonction publique du Canada,,,,,
2017,G,25,361364.58,3998.45,Office of the Public Sector Integrity Commissioner of Canada | Commissariat à l'intégrité du secteur public du Canada,,,,,
2017,G,70,309645.81,38182.14,Public Safety Canada | Sécurité publique Canada,,,,,
2017,G,18,27578714.03,-703945.61,Public Services and Procurement Canada | Services publics et Approvisionnement Canada,,,,,
2017,G,93,57708183,93985,Royal Canadian Mounted Police | Gendarmerie royale du Canada,,,,,
2017,G,58,6248919.2,79361.69,Shared Services Canada | Services partagés Canada,,,,,
2017,G,10,884852.36,28138.91,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada,,,,,
2017,G,54,1559755.97,195732.73,Statistics Canada | Statistique Canada,,,,,
2017,G,28,235843.37,11962.6,Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,,,,,
2017,G,22,238195.49,-5858.82,Transport Canada | Transports Canada,,,,,
2017,G,187,376071.19,9216.87,Veterans Affairs Canada | Anciens Combattants Canada,,,,,
2017,G,13,405947,26802,Veterans Review and Appeal Board | Tribunal des anciens combattants (révision et appel),,,,,
