year,commodity_type_en,commodity_type_fr,contracts_count,original_value,amendment_value,department_en,department_fr
2017,Good,Biens,0,0,0,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada
2017,Construction,Construction,0,0,0,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada
2017,Service,Services,141,1006909.76,64790.88,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
2017,Good,Biens,65,366858.97,2421.38,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
2017,Construction,Construction,0,0,0,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
2017,Service,Services,71,256386.48,5592.48,Office of the Privacy Commissioner of Canada,Commissariats à l’information et à la protection de la vie privée au Canada
2017,Good,Biens,50,183080.67,0,Office of the Privacy Commissioner of Canada,Commissariats à l’information et à la protection de la vie privée au Canada
2017,Construction,Construction,0,0,0,Office of the Privacy Commissioner of Canada,Commissariats à l’information et à la protection de la vie privée au Canada
2017,Service,Services,272,2196131.17,468811.98,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
2017,Good,Biens,269,1729092.88,54740.58,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
2017,Construction,Construction,0,0,0,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
2017,Service,Services,96,615592.36,84095.82,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
2017,Good,Biens,50,326074.57,-3113.30,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
2017,Construction,Construction,0,0,0,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
2017,Service,Services,108,414587.05,50538.74,Parole Board of Canada,Commission des libérations conditionnelles du Canada
2017,Good,Biens,81,138930.79,1400.60,Parole Board of Canada,Commission des libérations conditionnelles du Canada
2017,Construction,Construction,0,0,0,Parole Board of Canada,Commission des libérations conditionnelles du Canada
2017,Service,Services,7209,24713754.33,3192902.17,Parks Canada,Parcs Canada
2017,Good,Biens,6662,23573679.89,318601.17,Parks Canada,Parcs Canada
2017,Construction,Construction,659,4122605.63,529883.47,Parks Canada,Parcs Canada
2017,Service,Services,1692,6764466.94,984289.09,Canadian Heritage,Patrimoine canadien
2017,Good,Biens,423,2214291.19,91107.61,Canadian Heritage,Patrimoine canadien
2017,Construction,Construction,20,113527.13,5137.65,Canadian Heritage,Patrimoine canadien
2017,Service,Services,117,2024918.55,747681.57,Privy Council Office,Bureau du Conseil privé
2017,Good,Biens,73,1260281.46,9694.58,Privy Council Office,Bureau du Conseil privé
2017,Construction,Construction,0,0,0,Privy Council Office,Bureau du Conseil privé
2017,Service,Services,688,5912627.28,1144468.71,Public Health Agency of Canada,Agence de la santé publique du Canada
2017,Good,Biens,1285,9901247.72,80349.76,Public Health Agency of Canada,Agence de la santé publique du Canada
2017,Construction,Construction,126,907064.46,13309.33,Public Health Agency of Canada,Agence de la santé publique du Canada
2017,Service,Services,70,829557.92,20135.91,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada
2017,Good,Biens,65,89006.84,56.5,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada
2017,Construction,Construction,0,0,0,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada
2017,Service,Services,188,924244.00,1559153.53,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
2017,Good,Biens,74,316021.16,11131.18,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
2017,Construction,Construction,0,0,0,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
2017,Service,Services,611,1790637.12,46273.85,Public Service Commission of Canada,Commission de la fonction publique du Canada
2017,Good,Biens,39,273297.12,24557.26,Public Service Commission of Canada,Commission de la fonction publique du Canada
2017,Construction,Construction,0,0,0,Public Service Commission of Canada,Commission de la fonction publique du Canada
2017,Service,Services,60,321006.37,19694.43,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada
2017,Good,Biens,14,51491.08,101.7,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada
2017,Construction,Construction,0,0,0,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada
2017,Service,Services,492,2443517.18,778132.05,Public Safety Canada,Sécurité publique Canada
2017,Good,Biens,131,578752.96,36837.81,Public Safety Canada,Sécurité publique Canada
2017,Construction,Construction,1,17249.45,0,Public Safety Canada,Sécurité publique Canada
2017,Service,Services,11959,242138980.04,7559545.84,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
2017,Good,Biens,1522,20855917.39,9100370.11,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
2017,Construction,Construction,5628,320643606.70,2901522.37,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
2017,Service,Services,2829,14727505.56,11940560.14,Royal Canadian Mounted Police,Gendarmerie royale du Canada
2017,Good,Biens,4060,24641754.63,346873.11,Royal Canadian Mounted Police,Gendarmerie royale du Canada
2017,Construction,Construction,239,2943203.69,1070872.65,Royal Canadian Mounted Police,Gendarmerie royale du Canada
2017,Service,Services,7,116645.97,9400.00,Security Intelligence Review Committee,Comité de surveillance des activités de renseignement de sécurité
2017,Good,Biens,1,14414.34,0,Security Intelligence Review Committee,Comité de surveillance des activités de renseignement de sécurité
2017,Construction,Construction,0,0,0,Security Intelligence Review Committee,Comité de surveillance des activités de renseignement de sécurité
2017,Service,Services,1355,7038779.87,1453691.45,Shared Services Canada,Services partagés Canada
2017,Good,Biens,886,6135414.76,600471.93,Shared Services Canada,Services partagés Canada
2017,Construction,Construction,304,1811680.94,21675.04,Shared Services Canada,Services partagés Canada
2017,Service,Services,38,204030.37,168640.30,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada
2017,Good,Biens,22,81425.80,120.35,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada
2017,Construction,Construction,0,0,0,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada
2017,Service,Services,183,1016500.96,3998.45,Statistics Canada,Statistique Canada
2017,Good,Biens,298,2386597.66,7110.07,Statistics Canada,Statistique Canada
2017,Construction,Construction,0,0,0,Statistics Canada,Statistique Canada
2017,Service,Services,31,497848.79,101470.23,Status of Women Canada,Condition féminine Canada
2017,Good,Biens,5,69005.26,0,Status of Women Canada,Condition féminine Canada
2017,Construction,Construction,0,0,0,Status of Women Canada,Condition féminine Canada
2017,Service,Services,131,1534989.28,70296.74,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
2017,Good,Biens,32,267248.86,18991.59,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
2017,Construction,Construction,0,0,0,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
2017,Service,Services,1264,8793290.64,484431.33,Transport Canada,Transports Canada
2017,Good,Biens,3171,11415979.05,394281.97,Transport Canada,Transports Canada
2017,Construction,Construction,14,258848.32,44070.00,Transport Canada,Transports Canada
2017,Service,Services,20,386283.49,0,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada
